原文	译文
海贼试炼是体现实力的最好途径，恭喜你成功闯过第2关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 2 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第3关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 3 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第4关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 4 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第5关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 5 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第6关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 6 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第7关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 7 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第8关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 8 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第9关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 9 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第10关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 10 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第11关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 11 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第12关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 12 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第13关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 13 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第14关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 14 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第15关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 15 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第16关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 16 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第17关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 17 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第18关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 18 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第19关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 19 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第20关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 20 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第21关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 21 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第22关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 22 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第23关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 23 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第24关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 24 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第25关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 25 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第26关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 26 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第27关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 27 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第28关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 28 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第29关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 29 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第30关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 30 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第31关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 31 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第32关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 32 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第33关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 33 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第34关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 34 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第35关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 35 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第36关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 36 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第37关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 37 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第38关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 38 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第39关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 39 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第40关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 40 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第41关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 41 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第42关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 42 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第43关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 43 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第44关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 44 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第45关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 45 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第46关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 46 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第47关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 47 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第48关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 48 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第49关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 49 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第50关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 50 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第51关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 51 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第52关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 52 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第53关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 53 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第54关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 54 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第55关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 55 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第56关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 56 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第57关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 57 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第58关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 58 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第59关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 59 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第60关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 60 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第61关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 61 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第62关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 62 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第63关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 63 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第64关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 64 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第65关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 65 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第66关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 66 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第67关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 67 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第68关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 68 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第69关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 69 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第70关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 70 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第71关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 71 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第72关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 72 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第73关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 73 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第74关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 74 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第75关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 75 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第76关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 76 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第77关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 77 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第78关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 78 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第79关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 79 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第80关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 80 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第81关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 81 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第82关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 82 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第83关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 83 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第84关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 84 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第85关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 85 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第86关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 86 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第87关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 87 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第88关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 88 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第89关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 89 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第90关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 90 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第91关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 91 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第92关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 92 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第93关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 93 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第94关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 94 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第95关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 95 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第96关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 96 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第97关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 97 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第98关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 98 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第99关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 99 successfully.
海贼试炼是体现实力的最好途径，恭喜你成功闯过第100关。	Pirate Trial is the best stage to show your power! Congratulations! You have cleared Floor 100 successfully.
恭喜你完美通关了亚尔丽塔之战，这是给你的奖励，请收好！	Congratulations! You have cleared Battle vs. Alvida perfectly and obtained the following rewards!
恭喜你完美通关了斧手蒙卡之战，这是给你的奖励，请收好！	Congratulations! You have cleared Battle vs. Axe-Hand Morgan perfectly and obtained the following rewards!
恭喜你完美通关了小丑巴基之战，这是给你的奖励，请收好！	Congratulations! You have cleared Battle vs. Buggy perfectly and obtained the following rewards!
恭喜你完美通关了克洛的阴谋，这是给你的奖励，请收好！	Congratulations! You have cleared Kuro's Plot perfectly and obtained the following rewards!
恭喜你完美通关了挑战世上最强的男人，这是给你的奖励，请收好！	Congratulations! You have cleared Challenging Greatest Swordsman in the World perfectly and obtained the following rewards!
恭喜你完美通关了提督克利克之战，这是给你的奖励，请收好！	Congratulations! You have cleared Battle vs. Admiral Krieg perfectly and obtained the following rewards!
恭喜你完美通关了摧毁阿龙公园上，这是给你的奖励，请收好！	Congratulations! You have cleared Destroy Arlong Park I perfectly and obtained the following rewards!
恭喜你完美通关了摧毁阿龙公园下，这是给你的奖励，请收好！	Congratulations! You have cleared Destroy Arlong Park II perfectly and obtained the following rewards!
恭喜你完美通关了罗格镇之战，这是给你的奖励，请收好！	Congratulations! You have cleared Battle at Loguetown perfectly and obtained the following rewards!
恭喜你完美通关了翻越颠倒山，这是给你的奖励，请收好！	Congratulations! You have cleared Crossing Reverse Mountain perfectly and obtained the following rewards!
恭喜你完美通关了双子岬的拉布，这是给你的奖励，请收好！	Congratulations! You have cleared Twin Cape Lighthouse's Laboon perfectly and obtained the following rewards!
恭喜你完美通关了威士忌小镇，这是给你的奖励，请收好！	Congratulations! You have cleared Whiskey Peak perfectly and obtained the following rewards!
恭喜你完美通关了小花园之战上，这是给你的奖励，请收好！	Congratulations! You have cleared Battle at Little Garden I perfectly and obtained the following rewards!
恭喜你完美通关了小花园之战下，这是给你的奖励，请收好！	Congratulations! You have cleared Battle at Little Garden II perfectly and obtained the following rewards!
恭喜你完美通关了磁鼓岛之战，这是给你的奖励，请收好！	Congratulations! You have cleared Battle at Drum Island perfectly and obtained the following rewards!
恭喜你完美通关了登陆阿拉巴斯坦，这是给你的奖励，请收好！	Congratulations! You have cleared Aboard Alabasta perfectly and obtained the following rewards!
恭喜你完美通关了梦之城雨地，这是给你的奖励，请收好！	Congratulations! You have cleared City of Dreams - Rainbase perfectly and obtained the following rewards!
恭喜你完美通关了决战阿鲁巴拿，这是给你的奖励，请收好！	Congratulations! You have cleared Showdown at Alubarna perfectly and obtained the following rewards!
恭喜你完美通关了打到七武海，这是给你的奖励，请收好！	Congratulations! You have cleared Defeat the Shichibukai perfectly and obtained the following rewards!
恭喜你成功招募了5个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 5 partners, and your team becomes more powerful!
恭喜你成功招募了10个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 10 partners, and your team becomes more powerful!
恭喜你成功招募了15个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 15 partners, and your team becomes more powerful!
恭喜你成功招募了20个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 20 partners, and your team becomes more powerful!
恭喜你成功招募了22个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 22 partners, and your team becomes more powerful!
恭喜你成功招募了24个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 24 partners, and your team becomes more powerful!
恭喜你成功招募了26个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 26 partners, and your team becomes more powerful!
恭喜你成功招募了28个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 28 partners, and your team becomes more powerful!
恭喜你成功招募了30个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 30 partners, and your team becomes more powerful!
恭喜你成功招募了32个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 32 partners, and your team becomes more powerful!
恭喜你成功招募了34个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 34 partners, and your team becomes more powerful!
恭喜你成功招募了36个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 36 partners, and your team becomes more powerful!
恭喜你成功招募了38个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 38 partners, and your team becomes more powerful!
恭喜你成功招募了40个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 40 partners, and your team becomes more powerful!
恭喜你成功招募了42个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 42 partners, and your team becomes more powerful!
恭喜你成功招募了44个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 44 partners, and your team becomes more powerful!
恭喜你成功招募了46个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 46 partners, and your team becomes more powerful!
恭喜你成功招募了48个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 48 partners, and your team becomes more powerful!
恭喜你成功招募了50个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 50 partners, and your team becomes more powerful!
恭喜你成功招募了52个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 52 partners, and your team becomes more powerful!
恭喜你成功招募了54个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 54 partners, and your team becomes more powerful!
恭喜你成功招募了56个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 56 partners, and your team becomes more powerful!
恭喜你成功招募了58个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 58 partners, and your team becomes more powerful!
恭喜你成功招募了60个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 60 partners, and your team becomes more powerful!
恭喜你成功招募了62个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 62 partners, and your team becomes more powerful!
恭喜你成功招募了64个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 64 partners, and your team becomes more powerful!
恭喜你成功招募了66个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 66 partners, and your team becomes more powerful!
恭喜你成功招募了68个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 68 partners, and your team becomes more powerful!
恭喜你成功招募了70个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 70 partners, and your team becomes more powerful!
恭喜你成功招募了72个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 72 partners, and your team becomes more powerful!
恭喜你成功招募了74个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 74 partners, and your team becomes more powerful!
恭喜你成功招募了76个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 76 partners, and your team becomes more powerful!
恭喜你成功招募了78个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 78 partners, and your team becomes more powerful!
恭喜你成功招募了80个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 80 partners, and your team becomes more powerful!
恭喜你成功招募了82个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 82 partners, and your team becomes more powerful!
恭喜你成功招募了84个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 84 partners, and your team becomes more powerful!
恭喜你成功招募了86个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 86 partners, and your team becomes more powerful!
恭喜你成功招募了88个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 88 partners, and your team becomes more powerful!
恭喜你成功招募了90个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 90 partners, and your team becomes more powerful!
恭喜你成功招募了92个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 92 partners, and your team becomes more powerful!
恭喜你成功招募了94个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 94 partners, and your team becomes more powerful!
恭喜你成功招募了96个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 96 partners, and your team becomes more powerful!
恭喜你成功招募了98个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 98 partners, and your team becomes more powerful!
恭喜你成功招募了100个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 100 partners, and your team becomes more powerful!
恭喜你成功招募了102个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 102 partners, and your team becomes more powerful!
恭喜你成功招募了104个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 104 partners, and your team becomes more powerful!
恭喜你成功招募了106个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 106 partners, and your team becomes more powerful!
恭喜你成功招募了108个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 108 partners, and your team becomes more powerful!
恭喜你成功招募了110个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 110 partners, and your team becomes more powerful!
恭喜你成功招募了112个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 112 partners, and your team becomes more powerful!
恭喜你成功招募了114个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 114 partners, and your team becomes more powerful!
恭喜你成功招募了116个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 116 partners, and your team becomes more powerful!
恭喜你成功招募了118个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 118 partners, and your team becomes more powerful!
恭喜你成功招募了120个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 120 partners, and your team becomes more powerful!
恭喜你成功招募了122个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 122 partners, and your team becomes more powerful!
恭喜你成功招募了124个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 124 partners, and your team becomes more powerful!
恭喜你成功招募了126个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 126 partners, and your team becomes more powerful!
恭喜你成功招募了128个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 128 partners, and your team becomes more powerful!
恭喜你成功招募了130个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 130 partners, and your team becomes more powerful!
恭喜你成功招募了132个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 132 partners, and your team becomes more powerful!
恭喜你成功招募了134个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 134 partners, and your team becomes more powerful!
恭喜你成功招募了136个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 136 partners, and your team becomes more powerful!
恭喜你成功招募了138个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 138 partners, and your team becomes more powerful!
恭喜你成功招募了140个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 140 partners, and your team becomes more powerful!
恭喜你成功招募了142个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 142 partners, and your team becomes more powerful!
恭喜你成功招募了144个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 144 partners, and your team becomes more powerful!
恭喜你成功招募了146个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 146 partners, and your team becomes more powerful!
恭喜你成功招募了148个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 148 partners, and your team becomes more powerful!
恭喜你成功招募了150个伙伴，队伍的实力又增强了！	Congratulations! You have recruited 150 partners, and your team becomes more powerful!
恭喜你黄金梅丽号升至2星，队伍整体战斗力得到提升！	Congratulations! Your Going Merry has upgraded to 2 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你黄金梅丽号升至3星，队伍整体战斗力得到提升！	Congratulations! Your Going Merry has upgraded to 3 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你方舟箴言升至1星，队伍整体战斗力得到提升！	Congratulations! Your Arca Maxim has upgraded to 1 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你方舟箴言升至2星，队伍整体战斗力得到提升！	Congratulations! Your Arca Maxim has upgraded to 2 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你方舟箴言升至3星，队伍整体战斗力得到提升！	Congratulations! Your Arca Maxim has upgraded to 3 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你万里阳光号升至1星，队伍整体战斗力得到提升！	Congratulations! Your Thousand Sunny has upgraded to 1 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你万里阳光号升至2星，队伍整体战斗力得到提升！	Congratulations! Your Thousand Sunny has upgraded to 2 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你万里阳光号升至3星，队伍整体战斗力得到提升！	Congratulations! Your Thousand Sunny has upgraded to 3 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你黄金梅丽号升至4星，队伍整体战斗力得到提升！	Congratulations! Your Going Merry has upgraded to 4 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你方舟箴言升至4星，队伍整体战斗力得到提升！	Congratulations! Your Arca Maxim has upgraded to 4 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你万里阳光号升至4星，队伍整体战斗力得到提升！	Congratulations! Your Thousand Sunny has upgraded to 4 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你恐怖三桅帆船升至1星，队伍整体战斗力得到提升！	Congratulations! Your Thriller Bark has upgraded to 1 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你恐怖三桅帆船升至2星，队伍整体战斗力得到提升！	Congratulations! Your Thriller Bark has upgraded to 2 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你恐怖三桅帆船升至3星，队伍整体战斗力得到提升！	Congratulations! Your Thriller Bark has upgraded to 3 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你恐怖三桅帆船升至4星，队伍整体战斗力得到提升！	Congratulations! Your Thriller Bark has upgraded to 4 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你黄金梅丽号升至5星，队伍整体战斗力得到提升！	Congratulations! Your Going Merry has upgraded to 5 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你方舟箴言升至5星，队伍整体战斗力得到提升！	Congratulations! Your Arca Maxim has upgraded to 5 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你万里阳光号升至5星，队伍整体战斗力得到提升！	Congratulations! Your Thousand Sunny has upgraded to 5 Stars successfully and the Battle Power of your whole team has boosted greatly!
恭喜你恐怖三桅帆船升至5星，队伍整体战斗力得到提升！	Congratulations! Your Thriller Bark has upgraded to 5 Stars successfully and the Battle Power of your whole team has boosted greatly!
